
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 2790
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 2790, -, 1.0, -, 10.9, 20.0, 0.0, "Chi-Chi_ Taiwan-04", 1999, "HWA044", 6.2, strike slip, 67.93, 68.24, 534.41, 0.06, 1.0, RSN2790_CHICHI.04_HWA044N.AT2, RSN2790_CHICHI.04_HWA044E.AT2 , RSN2790_CHICHI.04_HWA044V.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-2790 RotD100 pSa (g)
 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-2790 Horizontal-1 pSa (g),RSN-2790 Horizontal-2 pSa (g),RSN-2790 Vertical pSa (g)
0.01,0.01273751,0.00906764,0.0072
0.02,0.0128075,0.0091354,0.00724
0.022,0.0128195,0.0091607,0.00727
0.025,0.01284264,0.00916429,0.00732
0.029,0.01291644,0.00913362,0.00728
0.03,0.01293308,0.00913777,0.00723
0.032,0.01296154,0.00920612,0.00722
0.035,0.01303444,0.00933183,0.00726
0.036,0.01300583,0.00938986,0.00727
0.04,0.01297367,0.00954022,0.00731
0.042,0.01305754,0.00951573,0.0074
0.044,0.01311204,0.00950064,0.00751
0.045,0.01318995,0.00955267,0.00758
0.046,0.01329388,0.00967138,0.00767
0.048,0.01341096,0.00991562,0.00776
0.05,0.01325053,0.01009677,0.0077
0.055,0.01334591,0.01005904,0.00809
0.06,0.01325605,0.00958288,0.00838
0.065,0.01453919,0.01001436,0.00802
0.067,0.01427813,0.01026809,0.00816
0.07,0.0143837,0.01116139,0.00892
0.075,0.01413491,0.01195912,0.00861
0.08,0.01379151,0.01344199,0.0101
0.085,0.0155668,0.01358421,0.0114
0.09,0.01676161,0.01436112,0.0129
0.095,0.01837284,0.01395465,0.0154
0.1,0.01853514,0.01407214,0.0193
0.11,0.02067338,0.01897793,0.0151
0.12,0.02232959,0.02488513,0.0136
0.13,0.02593957,0.02227841,0.0155
0.133,0.02711308,0.02133646,0.0152
0.14,0.02474717,0.02437556,0.0164
0.15,0.02738256,0.027171,0.0186
0.16,0.02740068,0.02953488,0.0207
0.17,0.03005227,0.03371107,0.0193
0.18,0.0351853,0.03641962,0.0168
0.19,0.03835063,0.03904692,0.0181
0.2,0.04139438,0.0382538,0.0184
0.22,0.05939483,0.03130133,0.0184
0.24,0.04920323,0.03721728,0.0155
0.25,0.04748657,0.04503243,0.0147
0.26,0.04621771,0.04561695,0.0129
0.28,0.0404193,0.03609646,0.0124
0.29,0.03518698,0.03321034,0.0123
0.3,0.03236284,0.03118571,0.0132
0.32,0.0230546,0.0233127,0.0139
0.34,0.0221665,0.02098118,0.0148
0.35,0.02195938,0.02071024,0.0166
0.36,0.02137404,0.0232678,0.016
0.38,0.02315287,0.02268558,0.0139
0.4,0.02568641,0.02459468,0.0121
0.42,0.02263151,0.0247473,0.0121
0.44,0.01743101,0.0231317,0.0106
0.45,0.01736864,0.02378443,0.0103
0.46,0.01715889,0.02309366,0.0104
0.48,0.01873468,0.0242404,0.0101
0.5,0.02162952,0.02630972,0.00982
0.55,0.02015553,0.03267983,0.0117
0.6,0.01874367,0.02487375,0.0108
0.65,0.01410879,0.02714426,0.00623
0.667,0.01448969,0.02596993,0.00545
0.7,0.01431551,0.01935511,0.0047
0.75,0.01335665,0.01235689,0.00425
0.8,0.01379281,0.00958382,0.00386
0.85,0.01424978,0.0103823,0.00399
0.9,0.0122362,0.01134942,0.00368
0.95,0.01064719,0.01203187,0.00392
1.0,0.00972456,0.01004158,0.00329
1.1,0.00953816,0.00797145,0.00368
1.2,0.00828614,0.00789981,0.00278
1.3,0.00814533,0.00644498,0.00258
1.4,0.00801669,0.0063908,0.0029
1.5,0.00850125,0.00816799,0.00326
1.6,0.00841615,0.00790771,0.00311
1.7,0.00791219,0.00776829,0.00345
1.8,0.00590332,0.00655528,0.00292
1.9,0.00594913,0.00513215,0.00265
2.0,0.00562715,0.00455105,0.00316
2.2,0.00524375,0.00421136,0.00339
2.4,0.00487699,0.00519095,0.00266
2.5,0.00430703,0.00471324,0.00255
2.6,0.00399568,0.00397748,0.0026
2.8,0.00414966,0.00335326,0.00274
3.0,0.00439989,0.00296742,0.00322
3.2,0.0043624,0.00237174,0.00334
3.4,0.00436709,0.00295987,0.00311
3.5,0.00450406,0.00292444,0.00292
3.6,0.0046548,0.0026739,0.00276
3.8,0.00494397,0.00260095,0.0026
4.0,0.00523082,0.00271081,0.00244
4.2,0.00598861,0.00268468,0.00243
4.4,0.00681934,0.00275382,0.00238
4.6,0.0074779,0.00276899,0.00218
4.8,0.00794537,0.00277987,0.00194
5.0,0.00820688,0.0027872,0.00177
5.5,0.00813852,0.00282069,0.00162
6.0,0.00780128,0.00250029,0.0017
6.5,0.00713757,0.00223841,0.00171
7.0,0.00620333,0.00183499,0.00156
7.5,0.00547562,0.00157229,0.00133
8.0,0.00513799,0.00128389,0.00106
8.5,0.00472067,0.00100175,0.000883
9.0,0.00429396,0.00088678,0.000826
9.5,0.00385101,0.00077925,0.000751
10.0,0.0033787,0.00067383,0.000651
11.0,0.00248165,0.00050077,0.000468
12.0,0.00204597,0.00044916,0.000402
13.0,0.00174713,0.00039449,0.000323
14.0,0.0014764,0.00032446,0.000258
15.0,0.00124509,0.00028746,0.000241
20.0,0.00052774,0.00013153,0.000131
