
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-31


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, barcis
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 121, -, 1.0, -, 4.3, 10.4, 0.0, "Friuli_ Italy-01", 1976, "Barcis", 6.5, Reverse, 49.13, 49.38, 496.46, 0.15, 1.0, RSN121_FRIULI.A_A-BCS000.AT2, RSN121_FRIULI.A_A-BCS270.AT2 , RSN121_FRIULI.A_A-BCS-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-121 SRSS pSa (g)
0.24,0.07550246,0.07550246,0.07550246,0.07550246
0.25,0.0777101,0.0777101,0.0777101,0.0777101
0.26,0.0815346,0.0815346,0.0815346,0.0815346
0.28,0.06535481,0.06535481,0.06535481,0.06535481
0.29,0.05316189,0.05316189,0.05316189,0.05316189
0.3,0.04611071,0.04611071,0.04611071,0.04611071
0.32,0.04243793,0.04243793,0.04243793,0.04243793
0.34,0.04481341,0.04481341,0.04481341,0.04481341
0.35,0.04650949,0.04650949,0.04650949,0.04650949
0.36,0.04720211,0.04720211,0.04720211,0.04720211
0.38,0.04765839,0.04765839,0.04765839,0.04765839
0.4,0.04600748,0.04600748,0.04600748,0.04600748
0.42,0.04460027,0.04460027,0.04460027,0.04460027
0.44,0.03726476,0.03726476,0.03726476,0.03726476
0.45,0.03392567,0.03392567,0.03392567,0.03392567
0.46,0.03460286,0.03460286,0.03460286,0.03460286
0.48,0.0354112,0.0354112,0.0354112,0.0354112
0.5,0.03532805,0.03532805,0.03532805,0.03532805
0.55,0.03387301,0.03387301,0.03387301,0.03387301
0.6,0.03431743,0.03431743,0.03431743,0.03431743
0.65,0.03555913,0.03555913,0.03555913,0.03555913
0.667,0.03599396,0.03599396,0.03599396,0.03599396
0.7,0.0355378,0.0355378,0.0355378,0.0355378
0.75,0.03642843,0.03642843,0.03642843,0.03642843
0.8,0.03650332,0.03650332,0.03650332,0.03650332
0.85,0.03626121,0.03626121,0.03626121,0.03626121
0.9,0.03391003,0.03391003,0.03391003,0.03391003
0.95,0.02850132,0.02850132,0.02850132,0.02850132
1.0,0.02416799,0.02416799,0.02416799,0.02416799
1.1,0.01896509,0.01896509,0.01896509,0.01896509
1.2,0.01719572,0.01719572,0.01719572,0.01719572
1.3,0.01703308,0.01703308,0.01703308,0.01703308
1.4,0.01241348,0.01241348,0.01241348,0.01241348
1.5,0.01198755,0.01198755,0.01198755,0.01198755
1.6,0.0109748,0.0109748,0.0109748,0.0109748
1.7,0.00997106,0.00997106,0.00997106,0.00997106
1.8,0.00940674,0.00940674,0.00940674,0.00940674
1.9,0.00957429,0.00957429,0.00957429,0.00957429
2.0,0.00966714,0.00966714,0.00966714,0.00966714
2.2,0.00959276,0.00959276,0.00959276,0.00959276
2.4,0.00959791,0.00959791,0.00959791,0.00959791
2.5,0.01007973,0.01007973,0.01007973,0.01007973
2.6,0.01016912,0.01016912,0.01016912,0.01016912
2.8,0.01020925,0.01020925,0.01020925,0.01020925
3.0,0.01024536,0.01024536,0.01024536,0.01024536
3.2,0.00996186,0.00996186,0.00996186,0.00996186
3.4,0.00942676,0.00942676,0.00942676,0.00942676
3.5,0.00908332,0.00908332,0.00908332,0.00908332
3.6,0.00870109,0.00870109,0.00870109,0.00870109
3.8,0.00803577,0.00803577,0.00803577,0.00803577
4.0,0.00744528,0.00744528,0.00744528,0.00744528
4.2,0.0068448,0.0068448,0.0068448,0.0068448
4.4,0.00623163,0.00623163,0.00623163,0.00623163
4.6,0.00557636,0.00557636,0.00557636,0.00557636
4.8,0.0049973,0.0049973,0.0049973,0.0049973
5.0,0.0045651,0.0045651,0.0045651,0.0045651
5.5,0.00351745,0.00351745,0.00351745,0.00351745
6.0,0.00279744,0.00279744,0.00279744,0.00279744
6.5,0.00231935,0.00231935,0.00231935,0.00231935
7.0,0.00195862,0.00195862,0.00195862,0.00195862
7.5,0.00167452,0.00167452,0.00167452,0.00167452
8.0,0.00144279,0.00144279,0.00144279,0.00144279
8.5,0.00124957,0.00124957,0.00124957,0.00124957
9.0,0.00108758,0.00108758,0.00108758,0.00108758
9.5,0.00095151,0.00095151,0.00095151,0.00095151
10.0,0.00083688,0.00083688,0.00083688,0.00083688
11.0,0.00065758,0.00065758,0.00065758,0.00065758
12.0,0.00052695,0.00052695,0.00052695,0.00052695
13.0,0.00042989,0.00042989,0.00042989,0.00042989
14.0,0.00035636,0.00035636,0.00035636,0.00035636
15.0,0.00029962,0.00029962,0.00029962,0.00029962
20.0,0.0001481,0.0001481,0.0001481,0.0001481

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-121 Horizontal-1 pSa (g),RSN-121 Horizontal-2 pSa (g),RSN-121 Vertical pSa (g)
0.01,0.02946638,0.02998884,0.0146
0.02,0.03035037,0.03121915,0.018
0.022,0.03141618,0.03336098,0.0197
0.025,0.03298466,0.03580127,0.0206
0.029,0.0363776,0.03703497,0.0238
0.03,0.0382502,0.03793257,0.0236
0.032,0.0361876,0.03678812,0.0245
0.035,0.03601117,0.03724711,0.0268
0.036,0.03983236,0.04106657,0.0291
0.04,0.04630229,0.04565213,0.0264
0.042,0.04705587,0.04482898,0.0259
0.044,0.05114343,0.04814531,0.031
0.045,0.0536336,0.04738622,0.0331
0.046,0.05377796,0.04867227,0.0331
0.048,0.04814516,0.05344604,0.0301
0.05,0.05065183,0.0556076,0.0264
0.055,0.0597568,0.06068838,0.0246
0.06,0.05935122,0.0737281,0.0286
0.065,0.05658996,0.07844859,0.0302
0.067,0.06521539,0.07570333,0.0311
0.07,0.07216163,0.06866057,0.0308
0.075,0.09951375,0.08873675,0.0252
0.08,0.09926294,0.0772007,0.0322
0.085,0.07938199,0.08295256,0.0325
0.09,0.07466199,0.06588592,0.0279
0.095,0.05322717,0.07556194,0.0263
0.1,0.05241338,0.0788445,0.0313
0.11,0.05718837,0.09445994,0.0367
0.12,0.05187026,0.1205922,0.0313
0.13,0.04754271,0.1103436,0.0362
0.133,0.04541355,0.1080587,0.0373
0.14,0.04584499,0.1243912,0.0464
0.15,0.05280679,0.1286334,0.0469
0.16,0.04761678,0.1298212,0.038
0.17,0.03980335,0.1088609,0.0276
0.18,0.04530675,0.09816573,0.0224
0.19,0.04834985,0.09684965,0.0197
0.2,0.05383403,0.09385679,0.0187
0.22,0.05487747,0.07441521,0.018
0.24,0.05280362,0.05396665,0.0215
0.25,0.06363817,0.04459868,0.0251
0.26,0.06582733,0.04811084,0.0268
0.28,0.04923695,0.04297643,0.0246
0.29,0.03844502,0.0367174,0.0219
0.3,0.03085645,0.03426481,0.0195
0.32,0.02863734,0.03131901,0.0205
0.34,0.02923699,0.03396234,0.0209
0.35,0.02704794,0.03783572,0.0201
0.36,0.02364305,0.04085395,0.019
0.38,0.02003524,0.04324247,0.0182
0.4,0.01794756,0.0423624,0.0214
0.42,0.01679743,0.04131623,0.0247
0.44,0.01581009,0.03374468,0.0283
0.45,0.01664488,0.02956178,0.0287
0.46,0.01792242,0.02959974,0.028
0.48,0.02011367,0.02914435,0.0272
0.5,0.02146599,0.02805855,0.0258
0.55,0.02405916,0.02384403,0.0207
0.6,0.02677115,0.02147072,0.0168
0.65,0.02499729,0.02529006,0.0164
0.667,0.02437388,0.02648545,0.0164
0.7,0.02400064,0.02620886,0.0198
0.75,0.02906175,0.02196464,0.0253
0.8,0.0320845,0.01740911,0.0277
0.85,0.031646,0.01770327,0.0248
0.9,0.02947325,0.01676955,0.0211
0.95,0.02459305,0.01440511,0.0192
1.0,0.01890943,0.01505076,0.0169
1.1,0.01284722,0.01395075,0.0131
1.2,0.00803418,0.01520345,0.0105
1.3,0.0071962,0.01543828,0.0082
1.4,0.00643871,0.01061308,0.00943
1.5,0.00617032,0.01027757,0.00735
1.6,0.00606631,0.00914583,0.00577
1.7,0.00678439,0.00730713,0.0043
1.8,0.00713776,0.00612692,0.00328
1.9,0.00743531,0.00603184,0.00247
2.0,0.00763467,0.00593004,0.00195
2.2,0.00774116,0.00566529,0.0015
2.4,0.00845084,0.00455008,0.00119
2.5,0.00907201,0.00439314,0.00119
2.6,0.00946479,0.00371871,0.00119
2.8,0.00958578,0.00351306,0.00112
3.0,0.00951792,0.00379167,0.000903
3.2,0.00920087,0.00381872,0.000782
3.4,0.00868792,0.00365839,0.000692
3.5,0.00836369,0.00354335,0.000627
3.6,0.00799837,0.00342564,0.000554
3.8,0.00736019,0.00322508,0.000444
4.0,0.00683866,0.00294363,0.000419
4.2,0.0062621,0.00276358,0.000386
4.4,0.00565758,0.00261247,0.00035
4.6,0.00504284,0.00238025,0.000316
4.8,0.00454232,0.00208334,0.00029
5.0,0.00411217,0.00198246,0.000263
5.5,0.00314177,0.0015817,0.000199
6.0,0.00253249,0.00118834,0.000167
6.5,0.00214113,0.00089158,0.000145
7.0,0.00182422,0.00071304,0.000127
7.5,0.00155715,0.00061586,0.000112
8.0,0.00133536,0.00054632,9.99e-05
8.5,0.00115196,0.00048416,8.94e-05
9.0,0.00099917,0.00042952,8.05e-05
9.5,0.00087149,0.00038195,7.28e-05
10.0,0.0007644,0.00034068,6.61e-05
11.0,0.00059781,0.00027392,5.53e-05
12.0,0.00047719,0.00022353,4.69e-05
13.0,0.00038802,0.00018508,4.02e-05
14.0,0.00032073,0.00015532,3.49e-05
15.0,0.000269,0.00013195,3.05e-05
20.0,0.00013182,6.75e-05,1.74e-05
