
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-31


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, Napoli Ovest
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 4490, -, 1.0, -, 52.1, 72.5, 0.0, "L'Aquila_ Italy", 2009, "Napoli Ovest", 6.3, Normal, 171.07, 171.54, 387.05, 0.0375, 1.0, RSN4490_L-AQUILA_BM444XTE.AT2, RSN4490_L-AQUILA_BM444YLN.AT2 , RSN4490_L-AQUILA_BM444ZUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-4490 SRSS pSa (g)
0.24,0.00436469,0.00436469,0.00436469,0.00436469
0.25,0.00436209,0.00436209,0.00436209,0.00436209
0.26,0.00439912,0.00439912,0.00439912,0.00439912
0.28,0.00449995,0.00449995,0.00449995,0.00449995
0.29,0.00475185,0.00475185,0.00475185,0.00475185
0.3,0.00524206,0.00524206,0.00524206,0.00524206
0.32,0.00546197,0.00546197,0.00546197,0.00546197
0.34,0.00561782,0.00561782,0.00561782,0.00561782
0.35,0.00589397,0.00589397,0.00589397,0.00589397
0.36,0.00620877,0.00620877,0.00620877,0.00620877
0.38,0.00636003,0.00636003,0.00636003,0.00636003
0.4,0.00713898,0.00713898,0.00713898,0.00713898
0.42,0.00729811,0.00729811,0.00729811,0.00729811
0.44,0.00717662,0.00717662,0.00717662,0.00717662
0.45,0.00728562,0.00728562,0.00728562,0.00728562
0.46,0.00738651,0.00738651,0.00738651,0.00738651
0.48,0.00708085,0.00708085,0.00708085,0.00708085
0.5,0.00727978,0.00727978,0.00727978,0.00727978
0.55,0.00746468,0.00746468,0.00746468,0.00746468
0.6,0.00845599,0.00845599,0.00845599,0.00845599
0.65,0.01077013,0.01077013,0.01077013,0.01077013
0.667,0.01144002,0.01144002,0.01144002,0.01144002
0.7,0.01166564,0.01166564,0.01166564,0.01166564
0.75,0.01074263,0.01074263,0.01074263,0.01074263
0.8,0.00993237,0.00993237,0.00993237,0.00993237
0.85,0.00903468,0.00903468,0.00903468,0.00903468
0.9,0.00959524,0.00959524,0.00959524,0.00959524
0.95,0.01013013,0.01013013,0.01013013,0.01013013
1.0,0.01018294,0.01018294,0.01018294,0.01018294
1.1,0.00914282,0.00914282,0.00914282,0.00914282
1.2,0.01077445,0.01077445,0.01077445,0.01077445
1.3,0.01279696,0.01279696,0.01279696,0.01279696
1.4,0.01209081,0.01209081,0.01209081,0.01209081
1.5,0.0116151,0.0116151,0.0116151,0.0116151
1.6,0.01401132,0.01401132,0.01401132,0.01401132
1.7,0.01367647,0.01367647,0.01367647,0.01367647
1.8,0.01228178,0.01228178,0.01228178,0.01228178
1.9,0.01295493,0.01295493,0.01295493,0.01295493
2.0,0.0113017,0.0113017,0.0113017,0.0113017
2.2,0.01062698,0.01062698,0.01062698,0.01062698
2.4,0.01170254,0.01170254,0.01170254,0.01170254
2.5,0.01092843,0.01092843,0.01092843,0.01092843
2.6,0.00874649,0.00874649,0.00874649,0.00874649
2.8,0.00640814,0.00640814,0.00640814,0.00640814
3.0,0.00499354,0.00499354,0.00499354,0.00499354
3.2,0.00481328,0.00481328,0.00481328,0.00481328
3.4,0.00477133,0.00477133,0.00477133,0.00477133
3.5,0.0047804,0.0047804,0.0047804,0.0047804
3.6,0.0048297,0.0048297,0.0048297,0.0048297
3.8,0.00422145,0.00422145,0.00422145,0.00422145
4.0,0.00425395,0.00425395,0.00425395,0.00425395
4.2,0.00431525,0.00431525,0.00431525,0.00431525
4.4,0.00435014,0.00435014,0.00435014,0.00435014
4.6,0.00393415,0.00393415,0.00393415,0.00393415
4.8,0.00327085,0.00327085,0.00327085,0.00327085
5.0,0.00280962,0.00280962,0.00280962,0.00280962
5.5,0.00268315,0.00268315,0.00268315,0.00268315
6.0,0.00240805,0.00240805,0.00240805,0.00240805
6.5,0.00252007,0.00252007,0.00252007,0.00252007
7.0,0.00233593,0.00233593,0.00233593,0.00233593
7.5,0.00201679,0.00201679,0.00201679,0.00201679
8.0,0.00185412,0.00185412,0.00185412,0.00185412
8.5,0.00166066,0.00166066,0.00166066,0.00166066
9.0,0.00140822,0.00140822,0.00140822,0.00140822
9.5,0.00122353,0.00122353,0.00122353,0.00122353
10.0,0.00107631,0.00107631,0.00107631,0.00107631
11.0,0.00079252,0.00079252,0.00079252,0.00079252
12.0,0.00067346,0.00067346,0.00067346,0.00067346
13.0,0.00056839,0.00056839,0.00056839,0.00056839
14.0,0.00048132,0.00048132,0.00048132,0.00048132
15.0,0.00040434,0.00040434,0.00040434,0.00040434
20.0,0.00018338,0.00018338,0.00018338,0.00018338

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-4490 Horizontal-1 pSa (g),RSN-4490 Horizontal-2 pSa (g),RSN-4490 Vertical pSa (g)
0.01,0.00250103,0.00265541,0.0014
0.02,0.0025021,0.00265592,0.0014
0.022,0.00250252,0.00265606,0.0014
0.025,0.00250295,0.00265643,0.0014
0.029,0.002504,0.00265648,0.00141
0.03,0.00250393,0.0026566,0.00141
0.032,0.00250401,0.00265695,0.00141
0.035,0.00250514,0.00265736,0.00141
0.036,0.00250524,0.00265757,0.00141
0.04,0.00250536,0.00265786,0.00141
0.042,0.00250549,0.00265796,0.00141
0.044,0.00250605,0.00265802,0.00141
0.045,0.00250637,0.00265815,0.00141
0.046,0.00250687,0.00265854,0.00141
0.048,0.00250753,0.00265955,0.00141
0.05,0.00250808,0.00266052,0.00141
0.055,0.00251031,0.00266217,0.00141
0.06,0.00251639,0.00266249,0.00141
0.065,0.00251787,0.00266274,0.00141
0.067,0.00251678,0.00266274,0.00141
0.07,0.00251625,0.00266153,0.00141
0.075,0.00251889,0.00266076,0.00141
0.08,0.00252326,0.0026616,0.00141
0.085,0.00252466,0.00266796,0.00141
0.09,0.00253013,0.00267917,0.00142
0.095,0.00253303,0.00268271,0.00142
0.1,0.00254024,0.00267856,0.00142
0.11,0.00256179,0.00272067,0.00142
0.12,0.00254427,0.002778,0.00144
0.13,0.00261072,0.00274956,0.00145
0.133,0.00265853,0.00271619,0.00145
0.14,0.00268422,0.00274026,0.00146
0.15,0.00270629,0.00285373,0.00146
0.16,0.00273029,0.00294909,0.00147
0.17,0.00269714,0.00300178,0.00149
0.18,0.00270442,0.00307049,0.00147
0.19,0.00293455,0.00306344,0.00145
0.2,0.00317411,0.00287319,0.00149
0.22,0.0032431,0.00283787,0.00151
0.24,0.00299529,0.00317472,0.00156
0.25,0.00292603,0.00323515,0.00154
0.26,0.00309589,0.00312535,0.00153
0.28,0.00307385,0.00328649,0.00166
0.29,0.00323451,0.00348109,0.0017
0.3,0.00357996,0.00382924,0.0018
0.32,0.00347271,0.00421585,0.00195
0.34,0.00405262,0.00389053,0.00237
0.35,0.00433519,0.00399313,0.00251
0.36,0.00442043,0.00435988,0.00249
0.38,0.00403371,0.00491724,0.00253
0.4,0.00441179,0.00561259,0.00266
0.42,0.00446819,0.00577041,0.00253
0.44,0.00428645,0.00575589,0.00251
0.45,0.00450615,0.00572494,0.00255
0.46,0.00472342,0.00567889,0.00274
0.48,0.00484999,0.00515908,0.00339
0.5,0.00497538,0.0053142,0.00372
0.55,0.00477469,0.00573793,0.00281
0.6,0.00437575,0.00723578,0.00291
0.65,0.0055023,0.00925854,0.00339
0.667,0.0055093,0.01002605,0.00352
0.7,0.00575412,0.01014777,0.00339
0.75,0.00537329,0.00930225,0.00374
0.8,0.00622934,0.0077361,0.00358
0.85,0.00569403,0.00701453,0.00342
0.9,0.00618851,0.00733286,0.00354
0.95,0.00648782,0.00777996,0.00408
1.0,0.00675398,0.00762076,0.00454
1.1,0.00567013,0.00717222,0.0037
1.2,0.00651782,0.00857944,0.00302
1.3,0.00603071,0.01128684,0.00339
1.4,0.00631904,0.01030812,0.00343
1.5,0.007147,0.00915593,0.0035
1.6,0.00969828,0.01011239,0.00465
1.7,0.01024,0.00906577,0.0046
1.8,0.00963846,0.00761198,0.00441
1.9,0.01031961,0.00783173,0.00341
2.0,0.00817164,0.00780722,0.00326
2.2,0.00633466,0.00853257,0.00302
2.4,0.00694976,0.00941543,0.00317
2.5,0.00617544,0.00901634,0.00287
2.6,0.00520329,0.00703043,0.00264
2.8,0.00494736,0.00407282,0.00233
3.0,0.0034692,0.00359168,0.00188
3.2,0.00345293,0.00335335,0.00142
3.4,0.00394237,0.00268763,0.00126
3.5,0.00408236,0.00248728,0.00121
3.6,0.00403806,0.00264954,0.00106
3.8,0.00352111,0.0023286,0.000972
4.0,0.00334465,0.00262857,0.000916
4.2,0.00335905,0.00270891,0.000816
4.4,0.00349329,0.00259241,0.00076
4.6,0.00307948,0.00244833,0.000734
4.8,0.00253035,0.00207264,0.000749
5.0,0.00227324,0.00165116,0.000759
5.5,0.00219982,0.00153626,0.000784
6.0,0.00170471,0.00170079,0.000875
6.5,0.00191049,0.00164341,0.000696
7.0,0.00176291,0.00153255,0.000608
7.5,0.00134792,0.00150018,0.000612
8.0,0.00117267,0.00143618,0.00071
8.5,0.00103939,0.00129516,0.000696
9.0,0.00084467,0.00112677,0.000608
9.5,0.00071415,0.00099349,0.000531
10.0,0.00060441,0.00089058,0.000408
11.0,0.00039532,0.00068688,0.000246
12.0,0.00034595,0.00057782,0.000186
13.0,0.00030218,0.00048141,0.000165
14.0,0.00028695,0.00038643,0.000148
15.0,0.00026802,0.00030274,0.000125
20.0,0.00012271,0.00013628,3.93e-05
