
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 46
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 46, -, 1.0, -, 5.2, 12.8, 0.0, "Lytle Creek", 1970, "LA - Hollywood Stor FF", 5.33, Reverse Oblique, 73.46, 73.67, 316.46, 0.375, 1.0, RSN46_LYTLECR_PEL090.AT2, RSN46_LYTLECR_PEL180.AT2 , RSN46_LYTLECR_PEL-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-46 RotD100 pSa (g)
0.24,0.06712046,0.06712046,0.06712046,0.06712046
0.25,0.06486777,0.06486777,0.06486777,0.06486777
0.26,0.06121648,0.06121648,0.06121648,0.06121648
0.28,0.06026918,0.06026918,0.06026918,0.06026918
0.29,0.05892037,0.05892037,0.05892037,0.05892037
0.3,0.05698137,0.05698137,0.05698137,0.05698137
0.32,0.05347653,0.05347653,0.05347653,0.05347653
0.34,0.04947402,0.04947402,0.04947402,0.04947402
0.35,0.04359996,0.04359996,0.04359996,0.04359996
0.36,0.04184161,0.04184161,0.04184161,0.04184161
0.38,0.04305954,0.04305954,0.04305954,0.04305954
0.4,0.03736739,0.03736739,0.03736739,0.03736739
0.42,0.03240779,0.03240779,0.03240779,0.03240779
0.44,0.0248082,0.0248082,0.0248082,0.0248082
0.45,0.02247214,0.02247214,0.02247214,0.02247214
0.46,0.02196876,0.02196876,0.02196876,0.02196876
0.48,0.01860521,0.01860521,0.01860521,0.01860521
0.5,0.01705142,0.01705142,0.01705142,0.01705142
0.55,0.01325861,0.01325861,0.01325861,0.01325861
0.6,0.01281567,0.01281567,0.01281567,0.01281567
0.65,0.01111612,0.01111612,0.01111612,0.01111612
0.667,0.01187155,0.01187155,0.01187155,0.01187155
0.7,0.01344221,0.01344221,0.01344221,0.01344221
0.75,0.01435109,0.01435109,0.01435109,0.01435109
0.8,0.01359317,0.01359317,0.01359317,0.01359317
0.85,0.01091656,0.01091656,0.01091656,0.01091656
0.9,0.0089711,0.0089711,0.0089711,0.0089711
0.95,0.00801323,0.00801323,0.00801323,0.00801323
1.0,0.00807292,0.00807292,0.00807292,0.00807292
1.1,0.00693943,0.00693943,0.00693943,0.00693943
1.2,0.00665247,0.00665247,0.00665247,0.00665247
1.3,0.00634074,0.00634074,0.00634074,0.00634074
1.4,0.00767221,0.00767221,0.00767221,0.00767221
1.5,0.00560624,0.00560624,0.00560624,0.00560624
1.6,0.00530714,0.00530714,0.00530714,0.00530714
1.7,0.00445105,0.00445105,0.00445105,0.00445105
1.8,0.00435178,0.00435178,0.00435178,0.00435178
1.9,0.00415846,0.00415846,0.00415846,0.00415846
2.0,0.00379849,0.00379849,0.00379849,0.00379849
2.2,0.00290947,0.00290947,0.00290947,0.00290947
2.4,0.00226092,0.00226092,0.00226092,0.00226092
2.5,0.00218655,0.00218655,0.00218655,0.00218655
2.6,0.00213318,0.00213318,0.00213318,0.00213318
2.8,0.00170796,0.00170796,0.00170796,0.00170796
3.0,0.00145136,0.00145136,0.00145136,0.00145136
3.2,0.00108485,0.00108485,0.00108485,0.00108485
3.4,0.00077573,0.00077573,0.00077573,0.00077573
3.5,0.00070575,0.00070575,0.00070575,0.00070575
3.6,0.00065782,0.00065782,0.00065782,0.00065782
3.8,0.00056421,0.00056421,0.00056421,0.00056421
4.0,0.00050941,0.00050941,0.00050941,0.00050941
4.2,0.00046207,0.00046207,0.00046207,0.00046207
4.4,0.00041522,0.00041522,0.00041522,0.00041522
4.6,0.00036895,0.00036895,0.00036895,0.00036895
4.8,0.00032349,0.00032349,0.00032349,0.00032349
5.0,0.00029559,0.00029559,0.00029559,0.00029559
5.5,0.00024566,0.00024566,0.00024566,0.00024566
6.0,0.00020016,0.00020016,0.00020016,0.00020016
6.5,0.00016512,0.00016512,0.00016512,0.00016512
7.0,0.00013927,0.00013927,0.00013927,0.00013927
7.5,0.00011588,0.00011588,0.00011588,0.00011588
8.0,9.584e-05,9.584e-05,9.584e-05,9.584e-05
8.5,7.925e-05,7.925e-05,7.925e-05,7.925e-05
9.0,6.855e-05,6.855e-05,6.855e-05,6.855e-05
9.5,6.286e-05,6.286e-05,6.286e-05,6.286e-05
10.0,5.758e-05,5.758e-05,5.758e-05,5.758e-05
11.0,4.834e-05,4.834e-05,4.834e-05,4.834e-05
12.0,4.078e-05,4.078e-05,4.078e-05,4.078e-05
13.0,3.466e-05,3.466e-05,3.466e-05,3.466e-05
14.0,2.969e-05,2.969e-05,2.969e-05,2.969e-05
15.0,2.564e-05,2.564e-05,2.564e-05,2.564e-05
20.0,1.378e-05,1.378e-05,1.378e-05,1.378e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-46 Horizontal-1 pSa (g),RSN-46 Horizontal-2 pSa (g),RSN-46 Vertical pSa (g)
0.01,0.01978708,0.01846744,0.00612
0.02,0.02001475,0.01885269,0.00638
0.022,0.02009123,0.01941744,0.00655
0.025,0.02005183,0.01962867,0.00672
0.029,0.01979409,0.01952806,0.00682
0.03,0.01968671,0.0193886,0.00676
0.032,0.0202276,0.01952097,0.00694
0.035,0.01998745,0.02012344,0.00765
0.036,0.01966008,0.01995394,0.00785
0.04,0.02097984,0.02162182,0.00851
0.042,0.02146566,0.02122725,0.00923
0.044,0.02266507,0.01960166,0.00966
0.045,0.02256288,0.01894896,0.0101
0.046,0.02231546,0.01959751,0.0105
0.048,0.02323034,0.02142827,0.0116
0.05,0.02392834,0.0222708,0.0123
0.055,0.02526253,0.02252742,0.0145
0.06,0.02772656,0.02279494,0.0192
0.065,0.02993138,0.02952596,0.0266
0.067,0.03081777,0.02952822,0.0253
0.07,0.03287289,0.03091672,0.0207
0.075,0.03360705,0.04127407,0.0184
0.08,0.04209732,0.04666426,0.0164
0.085,0.0399553,0.05211762,0.0167
0.09,0.04570547,0.05166799,0.016
0.095,0.04857632,0.04859414,0.017
0.1,0.04795084,0.05044758,0.0144
0.11,0.04953352,0.03892753,0.0165
0.12,0.04413891,0.03504896,0.0134
0.13,0.0433714,0.04224468,0.0159
0.133,0.04615233,0.04167481,0.0166
0.14,0.05025532,0.05120267,0.0172
0.15,0.05127877,0.05830877,0.0227
0.16,0.04601572,0.06335545,0.0225
0.17,0.03490203,0.0557681,0.0234
0.18,0.03613649,0.04903544,0.0194
0.19,0.04180203,0.0541157,0.0154
0.2,0.04535722,0.05588856,0.0177
0.22,0.052412,0.04309941,0.0209
0.24,0.06692991,0.04077438,0.0139
0.25,0.06473605,0.05111637,0.0133
0.26,0.06050781,0.06001829,0.0149
0.28,0.05872894,0.05867934,0.0138
0.29,0.05890654,0.05306791,0.0125
0.3,0.05692652,0.04965002,0.0111
0.32,0.04767467,0.04806147,0.0152
0.34,0.03685355,0.04938342,0.0155
0.35,0.03197778,0.04358916,0.015
0.36,0.02871417,0.04180085,0.0161
0.38,0.02560543,0.04293909,0.0177
0.4,0.02783774,0.03707126,0.0147
0.42,0.02586803,0.0315781,0.0138
0.44,0.02175809,0.02449417,0.0107
0.45,0.02116227,0.02012187,0.00913
0.46,0.01961734,0.0187774,0.0083
0.48,0.01666738,0.01655287,0.00837
0.5,0.01567119,0.01418302,0.00841
0.55,0.01306597,0.01150496,0.0077
0.6,0.01281223,0.00938034,0.00481
0.65,0.01111223,0.0096283,0.004
0.667,0.01160785,0.00907306,0.00412
0.7,0.01302992,0.00835191,0.00474
0.75,0.01413629,0.01005282,0.00342
0.8,0.01278787,0.00959072,0.00305
0.85,0.01060155,0.00672368,0.00317
0.9,0.00890394,0.0061802,0.00343
0.95,0.00696931,0.00621808,0.00276
1.0,0.00806656,0.00572625,0.0021
1.1,0.00630801,0.00576061,0.00202
1.2,0.00664766,0.00469911,0.0022
1.3,0.00633434,0.00508467,0.00256
1.4,0.00763607,0.00430332,0.0026
1.5,0.00538716,0.00354445,0.00273
1.6,0.00498356,0.00232358,0.00257
1.7,0.00412635,0.00223289,0.00226
1.8,0.00388847,0.00229129,0.00202
1.9,0.00369999,0.00218209,0.00187
2.0,0.00337424,0.00177046,0.00191
2.2,0.00259129,0.00136197,0.00184
2.4,0.00225261,0.00104627,0.00146
2.5,0.00215776,0.00095921,0.00123
2.6,0.00209288,0.00106567,0.00105
2.8,0.00170492,0.00103476,0.000819
3.0,0.00130847,0.00089368,0.000644
3.2,0.00103445,0.00074741,0.000538
3.4,0.00074991,0.00065069,0.000474
3.5,0.00064051,0.00062268,0.000453
3.6,0.00054432,0.00059027,0.000438
3.8,0.00045804,0.00052294,0.000454
4.0,0.00040106,0.00046329,0.000428
4.2,0.00035989,0.00041358,0.000368
4.4,0.00032441,0.0003677,0.000345
4.6,0.0002937,0.00032392,0.000321
4.8,0.000267,0.00029268,0.000295
5.0,0.00024366,0.00027337,0.000269
5.5,0.00019688,0.00022767,0.000207
6.0,0.0001622,0.00018795,0.000154
6.5,0.00013586,0.00015827,0.000118
7.0,0.00011543,0.00013083,0.000109
7.5,9.928e-05,0.00010711,0.0001
8.0,8.631e-05,8.745e-05,9.07e-05
8.5,7.572e-05,7.267e-05,8.18e-05
9.0,6.698e-05,6.661e-05,7.37e-05
9.5,5.968e-05,6.094e-05,6.63e-05
10.0,5.352e-05,5.57e-05,5.98e-05
11.0,4.376e-05,4.662e-05,4.89e-05
12.0,3.646e-05,3.924e-05,4.04e-05
13.0,3.085e-05,3.329e-05,3.37e-05
14.0,2.646e-05,2.848e-05,2.85e-05
15.0,2.294e-05,2.458e-05,2.43e-05
20.0,1.272e-05,1.317e-05,1.26e-05
