
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 4323
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 4323, -, 1.0, -, 0.4, 1.0, 0.0, "Lazio Abruzzo (aftershock 2)_ Italy", 1984, "Villetta Barrea", 4.8, Normal, 7.34, 11.65, 519.0, 0.75, 1.0, RSN4323_ABRUZZO.P_D-VLB000.AT2, RSN4323_ABRUZZO.P_D-VLB090.AT2 , RSN4323_ABRUZZO.P_D-VLB-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-4323 RotD100 pSa (g)
9.5,0.00024017,0.00024017,0.00024017,0.00024017
10.0,0.00021641,0.00021641,0.00021641,0.00021641
11.0,0.00017838,0.00017838,0.00017838,0.00017838
12.0,0.00014958,0.00014958,0.00014958,0.00014958
13.0,0.00012725,0.00012725,0.00012725,0.00012725
14.0,0.00010958,0.00010958,0.00010958,0.00010958
15.0,9.536e-05,9.536e-05,9.536e-05,9.536e-05
20.0,5.347e-05,5.347e-05,5.347e-05,5.347e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-4323 Horizontal-1 pSa (g),RSN-4323 Horizontal-2 pSa (g),RSN-4323 Vertical pSa (g)
0.01,0.1537646,0.0999736,0.0611
0.02,0.1602041,0.1040834,0.0684
0.022,0.164077,0.1017161,0.0774
0.025,0.1935937,0.1068249,0.0795
0.029,0.1910197,0.1059086,0.0746
0.03,0.1810173,0.1017852,0.0692
0.032,0.1666204,0.1047167,0.094
0.035,0.1808536,0.1176371,0.101
0.036,0.1876545,0.1207841,0.1
0.04,0.1962312,0.1236521,0.094
0.042,0.1921829,0.1219376,0.0788
0.044,0.1816058,0.1164206,0.0865
0.045,0.1763229,0.1114318,0.0978
0.046,0.1801735,0.1060357,0.109
0.048,0.1961156,0.09681064,0.132
0.05,0.2021972,0.1066466,0.153
0.055,0.2292676,0.1222962,0.152
0.06,0.2693118,0.12903,0.142
0.065,0.2800739,0.1332262,0.13
0.067,0.272534,0.129949,0.129
0.07,0.2559789,0.1268142,0.15
0.075,0.2164279,0.12341,0.184
0.08,0.1926408,0.1166966,0.202
0.085,0.1822564,0.1239114,0.171
0.09,0.1785884,0.1372695,0.14
0.095,0.1814588,0.1409534,0.138
0.1,0.1865714,0.1433666,0.134
0.11,0.2172797,0.1600784,0.124
0.12,0.2282468,0.167745,0.12
0.13,0.2218155,0.1920913,0.136
0.133,0.2198068,0.1953205,0.139
0.14,0.2172037,0.200254,0.137
0.15,0.2126075,0.2046148,0.117
0.16,0.2075098,0.2055722,0.0861
0.17,0.214593,0.2261489,0.0781
0.18,0.2353811,0.2279976,0.0716
0.19,0.2529833,0.2078607,0.0703
0.2,0.2718899,0.2060692,0.0724
0.22,0.3123712,0.1902998,0.0674
0.24,0.3434758,0.1878435,0.0822
0.25,0.3541006,0.1826666,0.0879
0.26,0.3600851,0.1753776,0.0919
0.28,0.3602801,0.1665151,0.0915
0.29,0.359093,0.1803989,0.0858
0.3,0.3556662,0.1860375,0.0775
0.32,0.3438604,0.1795844,0.0633
0.34,0.3262616,0.1674377,0.0512
0.35,0.3156015,0.1630616,0.0443
0.36,0.3041379,0.1567893,0.0414
0.38,0.2793297,0.1396688,0.0372
0.4,0.2534442,0.1242039,0.0358
0.42,0.2280024,0.1144279,0.0372
0.44,0.2037503,0.1032933,0.037
0.45,0.1923265,0.09743869,0.0376
0.46,0.1813582,0.09152051,0.0377
0.48,0.1638656,0.07989972,0.0362
0.5,0.153676,0.07133321,0.0332
0.55,0.1297919,0.06137165,0.0291
0.6,0.1088954,0.05229256,0.0278
0.65,0.09106347,0.0442231,0.0248
0.667,0.08564133,0.04168969,0.0236
0.7,0.07600006,0.03705435,0.0209
0.75,0.06334846,0.03068972,0.017
0.8,0.05278103,0.02509359,0.016
0.85,0.04400707,0.02225329,0.0156
0.9,0.03674268,0.02138442,0.0148
0.95,0.03075048,0.01927214,0.0139
1.0,0.02581355,0.01659635,0.0129
1.1,0.02068256,0.0136927,0.0107
1.2,0.01764232,0.01135905,0.00867
1.3,0.01513981,0.00948811,0.00691
1.4,0.01307576,0.00799009,0.00607
1.5,0.01136627,0.00678228,0.00561
1.6,0.0099426,0.00580357,0.00496
1.7,0.00875284,0.00500649,0.00422
1.8,0.00775037,0.00435132,0.00353
1.9,0.00690268,0.00380884,0.00292
2.0,0.00618049,0.00335632,0.00262
2.2,0.00502774,0.00265431,0.00209
2.4,0.00416268,0.00214509,0.00167
2.5,0.00381,0.00194227,0.00149
2.6,0.00349956,0.00176626,0.00134
2.8,0.00298128,0.00147797,0.00108
3.0,0.00256928,0.00125412,0.00093
3.2,0.00223676,0.00107716,0.000812
3.4,0.00196474,0.00093505,0.000714
3.5,0.00184697,0.0008743,0.000672
3.6,0.00173948,0.00081928,0.000634
3.8,0.00155091,0.00072379,0.000566
4.0,0.0013915,0.00064413,0.000508
4.2,0.00125555,0.00057699,0.000459
4.4,0.00113867,0.00051989,0.000417
4.6,0.00103745,0.00047092,0.00038
4.8,0.00094922,0.00042861,0.000348
5.0,0.00087184,0.00039181,0.00032
5.5,0.00071541,0.00031829,0.000263
6.0,0.00059778,0.00026382,0.00022
6.5,0.00050707,0.00022233,0.000187
7.0,0.00043563,0.00018998,0.00016
7.5,0.00037834,0.00016427,0.000139
8.0,0.00033169,0.00014347,0.000122
8.5,0.0002932,0.00012642,0.000108
9.0,0.00026106,0.00011225,9.63e-05
9.5,0.00023394,0.00010035,8.63e-05
10.0,0.00021086,9.026e-05,7.78e-05
11.0,0.00017389,7.418e-05,6.42e-05
12.0,0.00014587,6.206e-05,5.39e-05
13.0,0.00012413,5.27e-05,4.58e-05
14.0,0.00010692,4.531e-05,3.95e-05
15.0,9.306e-05,3.938e-05,3.44e-05
20.0,5.221e-05,2.199e-05,1.93e-05
