
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 95
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 95, -, 1.0, -, 4.9, 10.6, 2.0, "Managua_ Nicaragua-01", 1972, "Managua_ ESSO", 6.24, strike slip, 3.51, 4.06, 288.77, 0.375, 1.0, RSN95_MANAGUA_A-ESO090.AT2, RSN95_MANAGUA_A-ESO180.AT2 , RSN95_MANAGUA_A-ESODWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-95 RotD100 pSa (g)
0.45,1.178198,1.178198,1.178198,1.178198
0.46,1.057371,1.057371,1.057371,1.057371
0.48,1.103294,1.103294,1.103294,1.103294
0.5,1.076829,1.076829,1.076829,1.076829
0.55,0.7511249,0.7511249,0.7511249,0.7511249
0.6,0.8116482,0.8116482,0.8116482,0.8116482
0.65,0.7316394,0.7316394,0.7316394,0.7316394
0.667,0.720364,0.720364,0.720364,0.720364
0.7,0.6452129,0.6452129,0.6452129,0.6452129
0.75,0.4999972,0.4999972,0.4999972,0.4999972
0.8,0.4301728,0.4301728,0.4301728,0.4301728
0.85,0.515408,0.515408,0.515408,0.515408
0.9,0.5583388,0.5583388,0.5583388,0.5583388
0.95,0.5029767,0.5029767,0.5029767,0.5029767
1.0,0.3979543,0.3979543,0.3979543,0.3979543
1.1,0.2843382,0.2843382,0.2843382,0.2843382
1.2,0.2746698,0.2746698,0.2746698,0.2746698
1.3,0.2171697,0.2171697,0.2171697,0.2171697
1.4,0.2009781,0.2009781,0.2009781,0.2009781
1.5,0.2180659,0.2180659,0.2180659,0.2180659
1.6,0.2125021,0.2125021,0.2125021,0.2125021
1.7,0.2212014,0.2212014,0.2212014,0.2212014
1.8,0.203374,0.203374,0.203374,0.203374
1.9,0.178664,0.178664,0.178664,0.178664
2.0,0.1701064,0.1701064,0.1701064,0.1701064
2.2,0.1634185,0.1634185,0.1634185,0.1634185
2.4,0.1479407,0.1479407,0.1479407,0.1479407
2.5,0.1329544,0.1329544,0.1329544,0.1329544
2.6,0.1265706,0.1265706,0.1265706,0.1265706
2.8,0.1050056,0.1050056,0.1050056,0.1050056
3.0,0.08009236,0.08009236,0.08009236,0.08009236
3.2,0.06374214,0.06374214,0.06374214,0.06374214
3.4,0.0585833,0.0585833,0.0585833,0.0585833
3.5,0.05603799,0.05603799,0.05603799,0.05603799
3.6,0.05284356,0.05284356,0.05284356,0.05284356
3.8,0.04671808,0.04671808,0.04671808,0.04671808
4.0,0.04386558,0.04386558,0.04386558,0.04386558
4.2,0.04029031,0.04029031,0.04029031,0.04029031
4.4,0.03629926,0.03629926,0.03629926,0.03629926
4.6,0.03200104,0.03200104,0.03200104,0.03200104
4.8,0.027724,0.027724,0.027724,0.027724
5.0,0.02397949,0.02397949,0.02397949,0.02397949
5.5,0.01947111,0.01947111,0.01947111,0.01947111
6.0,0.01582908,0.01582908,0.01582908,0.01582908
6.5,0.01271407,0.01271407,0.01271407,0.01271407
7.0,0.01020089,0.01020089,0.01020089,0.01020089
7.5,0.00823213,0.00823213,0.00823213,0.00823213
8.0,0.00680645,0.00680645,0.00680645,0.00680645
8.5,0.00570634,0.00570634,0.00570634,0.00570634
9.0,0.00480465,0.00480465,0.00480465,0.00480465
9.5,0.00407309,0.00407309,0.00407309,0.00407309
10.0,0.00348197,0.00348197,0.00348197,0.00348197
11.0,0.00261658,0.00261658,0.00261658,0.00261658
12.0,0.002099,0.002099,0.002099,0.002099
13.0,0.00174784,0.00174784,0.00174784,0.00174784
14.0,0.00147678,0.00147678,0.00147678,0.00147678
15.0,0.00126323,0.00126323,0.00126323,0.00126323
20.0,0.00066365,0.00066365,0.00066365,0.00066365

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-95 Horizontal-1 pSa (g),RSN-95 Horizontal-2 pSa (g),RSN-95 Vertical pSa (g)
0.01,0.3720065,0.3299336,0.31
0.02,0.3731327,0.3376638,0.327
0.022,0.3889697,0.3395917,0.331
0.025,0.4124486,0.3425836,0.354
0.029,0.4085355,0.3434332,0.372
0.03,0.4062206,0.3502267,0.384
0.032,0.3938624,0.3610734,0.397
0.035,0.3927507,0.3654314,0.413
0.036,0.4053645,0.3609155,0.427
0.04,0.4466921,0.3659327,0.517
0.042,0.4526019,0.3630075,0.47
0.044,0.4701349,0.3661438,0.467
0.045,0.4848782,0.3800848,0.478
0.046,0.4968622,0.3895333,0.49
0.048,0.5129748,0.3927,0.518
0.05,0.5260636,0.3983682,0.576
0.055,0.5465674,0.3906794,0.571
0.06,0.5161786,0.4110301,0.602
0.065,0.4797888,0.4200743,0.642
0.067,0.4357914,0.4559928,0.686
0.07,0.4105945,0.5221901,0.753
0.075,0.4399869,0.5787523,0.797
0.08,0.4440402,0.6493081,0.748
0.085,0.4531571,0.6976996,0.782
0.09,0.4606985,0.6490699,0.879
0.095,0.5819781,0.7089841,0.739
0.1,0.5990617,0.7900167,0.76
0.11,0.568277,0.6842092,0.876
0.12,0.6854044,0.6936318,0.879
0.13,0.780275,0.8358864,1.03
0.133,0.8147491,0.8740274,1.11
0.14,0.924287,0.7920302,1.33
0.15,0.9368826,0.6368546,1.45
0.16,0.8626207,0.7477284,1.72
0.17,0.8904926,0.9058789,1.41
0.18,0.8850746,0.9021789,1.27
0.19,0.9926356,1.041008,1.08
0.2,1.05355,1.093194,0.884
0.22,1.043338,1.060565,0.69
0.24,0.7755722,1.005005,0.544
0.25,0.8436618,1.182213,0.436
0.26,0.9128667,1.22708,0.429
0.28,0.8062952,1.377781,0.521
0.29,0.9260047,1.263353,0.494
0.3,0.9172276,1.331679,0.446
0.32,0.9300885,1.319648,0.325
0.34,1.131265,1.364979,0.329
0.35,1.036996,1.462283,0.301
0.36,0.8651939,1.499058,0.273
0.38,0.745766,1.462766,0.236
0.4,0.6574064,1.387667,0.216
0.42,0.5314146,1.423899,0.244
0.44,0.4920699,1.251659,0.279
0.45,0.4948364,1.081158,0.304
0.46,0.5333527,1.030759,0.301
0.48,0.6313108,1.063911,0.258
0.5,0.7172093,1.049431,0.236
0.55,0.6252193,0.6708542,0.16
0.6,0.5864305,0.6927534,0.196
0.65,0.662971,0.6313596,0.168
0.667,0.654388,0.5875125,0.188
0.7,0.5869768,0.464682,0.193
0.75,0.4525315,0.3863055,0.167
0.8,0.4005837,0.4287289,0.144
0.85,0.4376915,0.4511449,0.139
0.9,0.4188406,0.4087999,0.122
0.95,0.375482,0.3509952,0.125
1.0,0.3241515,0.2982595,0.169
1.1,0.2325387,0.282088,0.208
1.2,0.262957,0.1680002,0.134
1.3,0.1996562,0.134197,0.126
1.4,0.1543716,0.170577,0.134
1.5,0.153537,0.2109352,0.12
1.6,0.1664972,0.2107045,0.106
1.7,0.1789285,0.1903182,0.103
1.8,0.1803338,0.1771713,0.0835
1.9,0.1765392,0.1536155,0.0742
2.0,0.1669543,0.1422848,0.0734
2.2,0.1619631,0.0972921,0.0867
2.4,0.1475903,0.06343307,0.0901
2.5,0.1327022,0.05799864,0.0874
2.6,0.125456,0.05756143,0.0826
2.8,0.1038778,0.06014861,0.0656
3.0,0.07619092,0.05763228,0.057
3.2,0.05514501,0.05263908,0.0459
3.4,0.03980798,0.05261976,0.0399
3.5,0.03499789,0.05115118,0.0385
3.6,0.0305323,0.04895562,0.037
3.8,0.02305261,0.04671727,0.0358
4.0,0.01911852,0.04324645,0.0336
4.2,0.01674176,0.03885168,0.0306
4.4,0.01602491,0.03397572,0.0271
4.6,0.01532261,0.02917576,0.0235
4.8,0.01444671,0.02534394,0.0213
5.0,0.01338529,0.02324703,0.0201
5.5,0.01035883,0.01941093,0.0171
6.0,0.00816501,0.01573997,0.0147
6.5,0.00719375,0.01263428,0.0126
7.0,0.00617766,0.01014804,0.0107
7.5,0.00522785,0.00820622,0.00907
8.0,0.00439814,0.00670391,0.0077
8.5,0.00370195,0.00554166,0.00656
9.0,0.0031311,0.0046382,0.0056
9.5,0.00266852,0.00393025,0.0048
10.0,0.00230031,0.00337002,0.00414
11.0,0.00195042,0.0025593,0.00311
12.0,0.00165113,0.00201739,0.00239
13.0,0.00140181,0.00163923,0.00186
14.0,0.00119926,0.00136493,0.00153
15.0,0.00106041,0.00115903,0.00136
20.0,0.00058881,0.00064029,0.000812
