
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-31


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, Compuertas
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 167, -, 1.0, -, 13.4, 28.7, 0.4, "Imperial Valley-06", 1979, "Compuertas", 6.53, strike slip, 13.52, 15.3, 259.86, 0.15, 1.0, RSN167_IMPVALL.H_H-CMP015.AT2, RSN167_IMPVALL.H_H-CMP285.AT2 , RSN167_IMPVALL.H_H-CMPDWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-167 SRSS pSa (g)
0.24,0.58872217,0.58872217,0.58872217,0.58872217
0.25,0.57278908,0.57278908,0.57278908,0.57278908
0.26,0.54063519,0.54063519,0.54063519,0.54063519
0.28,0.53545356,0.53545356,0.53545356,0.53545356
0.29,0.53000446,0.53000446,0.53000446,0.53000446
0.3,0.52449946,0.52449946,0.52449946,0.52449946
0.32,0.50720379,0.50720379,0.50720379,0.50720379
0.34,0.48576728,0.48576728,0.48576728,0.48576728
0.35,0.47349802,0.47349802,0.47349802,0.47349802
0.36,0.46036084,0.46036084,0.46036084,0.46036084
0.38,0.43428988,0.43428988,0.43428988,0.43428988
0.4,0.43445888,0.43445888,0.43445888,0.43445888
0.42,0.42341584,0.42341584,0.42341584,0.42341584
0.44,0.40949286,0.40949286,0.40949286,0.40949286
0.45,0.39772178,0.39772178,0.39772178,0.39772178
0.46,0.38455937,0.38455937,0.38455937,0.38455937
0.48,0.35543826,0.35543826,0.35543826,0.35543826
0.5,0.34265457,0.34265457,0.34265457,0.34265457
0.55,0.31654464,0.31654464,0.31654464,0.31654464
0.6,0.27646158,0.27646158,0.27646158,0.27646158
0.65,0.24575419,0.24575419,0.24575419,0.24575419
0.667,0.23691461,0.23691461,0.23691461,0.23691461
0.7,0.23496589,0.23496589,0.23496589,0.23496589
0.75,0.21596337,0.21596337,0.21596337,0.21596337
0.8,0.17683743,0.17683743,0.17683743,0.17683743
0.85,0.16676474,0.16676474,0.16676474,0.16676474
0.9,0.14350545,0.14350545,0.14350545,0.14350545
0.95,0.14546473,0.14546473,0.14546473,0.14546473
1.0,0.11467137,0.11467137,0.11467137,0.11467137
1.1,0.09949518,0.09949518,0.09949518,0.09949518
1.2,0.11290448,0.11290448,0.11290448,0.11290448
1.3,0.11912635,0.11912635,0.11912635,0.11912635
1.4,0.09752579,0.09752579,0.09752579,0.09752579
1.5,0.07621035,0.07621035,0.07621035,0.07621035
1.6,0.06456586,0.06456586,0.06456586,0.06456586
1.7,0.07664524,0.07664524,0.07664524,0.07664524
1.8,0.085559,0.085559,0.085559,0.085559
1.9,0.06248319,0.06248319,0.06248319,0.06248319
2.0,0.05733478,0.05733478,0.05733478,0.05733478
2.2,0.04431599,0.04431599,0.04431599,0.04431599
2.4,0.04825068,0.04825068,0.04825068,0.04825068
2.5,0.04626322,0.04626322,0.04626322,0.04626322
2.6,0.03994935,0.03994935,0.03994935,0.03994935
2.8,0.0313669,0.0313669,0.0313669,0.0313669
3.0,0.03054509,0.03054509,0.03054509,0.03054509
3.2,0.02975791,0.02975791,0.02975791,0.02975791
3.4,0.02930141,0.02930141,0.02930141,0.02930141
3.5,0.02921876,0.02921876,0.02921876,0.02921876
3.6,0.03195422,0.03195422,0.03195422,0.03195422
3.8,0.03704994,0.03704994,0.03704994,0.03704994
4.0,0.03804357,0.03804357,0.03804357,0.03804357
4.2,0.03694385,0.03694385,0.03694385,0.03694385
4.4,0.03386118,0.03386118,0.03386118,0.03386118
4.6,0.03049392,0.03049392,0.03049392,0.03049392
4.8,0.02476836,0.02476836,0.02476836,0.02476836
5.0,0.01971856,0.01971856,0.01971856,0.01971856
5.5,0.01476732,0.01476732,0.01476732,0.01476732
6.0,0.01404321,0.01404321,0.01404321,0.01404321
6.5,0.01115258,0.01115258,0.01115258,0.01115258
7.0,0.00843878,0.00843878,0.00843878,0.00843878
7.5,0.00676049,0.00676049,0.00676049,0.00676049
8.0,0.00575991,0.00575991,0.00575991,0.00575991
8.5,0.00481698,0.00481698,0.00481698,0.00481698
9.0,0.0043323,0.0043323,0.0043323,0.0043323
9.5,0.00414505,0.00414505,0.00414505,0.00414505
10.0,0.00373735,0.00373735,0.00373735,0.00373735
11.0,0.00259585,0.00259585,0.00259585,0.00259585
12.0,0.00187596,0.00187596,0.00187596,0.00187596
13.0,0.00148456,0.00148456,0.00148456,0.00148456
14.0,0.00114587,0.00114587,0.00114587,0.00114587
15.0,0.00092554,0.00092554,0.00092554,0.00092554
20.0,0.00055139,0.00055139,0.00055139,0.00055139

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-167 Horizontal-1 pSa (g),RSN-167 Horizontal-2 pSa (g),RSN-167 Vertical pSa (g)
0.01,0.1907974,0.15068,0.0752
0.02,0.187025,0.1484097,0.0772
0.022,0.1873609,0.1487375,0.0797
0.025,0.1878152,0.1489231,0.0766
0.029,0.1887449,0.151159,0.0962
0.03,0.1892156,0.1515315,0.0976
0.032,0.1890029,0.1525186,0.107
0.035,0.1874772,0.1525963,0.115
0.036,0.1880102,0.154175,0.122
0.04,0.1863068,0.1613063,0.117
0.042,0.1873922,0.1593001,0.131
0.044,0.1910512,0.1560187,0.149
0.045,0.1931315,0.1556745,0.157
0.046,0.1964739,0.1553612,0.173
0.048,0.2044346,0.1655945,0.2
0.05,0.2037715,0.1747409,0.208
0.055,0.2365774,0.1846504,0.219
0.06,0.2709439,0.1862528,0.282
0.065,0.283623,0.283637,0.215
0.067,0.2763367,0.296955,0.252
0.07,0.2915804,0.3194786,0.28
0.075,0.3120986,0.317932,0.292
0.08,0.4309116,0.293313,0.244
0.085,0.4715444,0.2365571,0.189
0.09,0.4940362,0.2540593,0.178
0.095,0.5427317,0.2690955,0.147
0.1,0.5841653,0.259555,0.137
0.11,0.4956797,0.2391235,0.167
0.12,0.4726073,0.2258035,0.125
0.13,0.449863,0.2329342,0.107
0.133,0.4801702,0.2343447,0.107
0.14,0.4020816,0.2282846,0.104
0.15,0.4171848,0.2214348,0.109
0.16,0.4290675,0.2571279,0.103
0.17,0.426683,0.2937247,0.0975
0.18,0.3774356,0.3101548,0.0909
0.19,0.3649141,0.3167885,0.0968
0.2,0.3741916,0.3188431,0.107
0.22,0.3988862,0.334976,0.14
0.24,0.4633191,0.3632206,0.146
0.25,0.4375623,0.3696303,0.141
0.26,0.3955692,0.368526,0.135
0.28,0.3904444,0.3664201,0.113
0.29,0.3874579,0.3616367,0.099
0.3,0.3869703,0.3540532,0.0928
0.32,0.3780282,0.3381573,0.0819
0.34,0.3644432,0.3211713,0.0754
0.35,0.3555861,0.3126642,0.0903
0.36,0.3465161,0.303082,0.0945
0.38,0.3281336,0.2844926,0.0979
0.4,0.3427674,0.2669551,0.0905
0.42,0.3412175,0.2507022,0.0923
0.44,0.335712,0.2344821,0.0929
0.45,0.3273748,0.2258503,0.091
0.46,0.316596,0.2182954,0.0853
0.48,0.2919402,0.2027493,0.0831
0.5,0.2862123,0.1884003,0.0769
0.55,0.2710343,0.1635265,0.0747
0.6,0.2416319,0.1343318,0.0638
0.65,0.2168597,0.1156157,0.0513
0.667,0.2090365,0.1115001,0.0566
0.7,0.2107579,0.1038753,0.0573
0.75,0.1948595,0.09311257,0.0567
0.8,0.1565956,0.0821541,0.0534
0.85,0.1506759,0.07146504,0.0506
0.9,0.1295512,0.06172764,0.0426
0.95,0.1325719,0.05987218,0.0397
1.0,0.09685311,0.06139216,0.0323
1.1,0.0873588,0.0476207,0.0319
1.2,0.1034675,0.04518737,0.025
1.3,0.1071209,0.05211717,0.0261
1.4,0.07910206,0.0570451,0.0311
1.5,0.05984369,0.04718845,0.0212
1.6,0.05032479,0.04044954,0.0196
1.7,0.06070086,0.04679635,0.0251
1.8,0.06609769,0.05432714,0.022
1.9,0.05061143,0.03664194,0.0212
2.0,0.0460486,0.03415851,0.0248
2.2,0.03217728,0.03047178,0.0181
2.4,0.03604741,0.03207355,0.0141
2.5,0.03407385,0.03129311,0.015
2.6,0.02813782,0.02835866,0.0137
2.8,0.01888533,0.0250445,0.0122
3.0,0.0220808,0.02110547,0.0105
3.2,0.02180307,0.02025239,0.00907
3.4,0.02282065,0.01837908,0.00696
3.5,0.02374104,0.01703229,0.00579
3.6,0.02718497,0.01679434,0.00499
3.8,0.03192035,0.01880928,0.00489
4.0,0.03271425,0.01941884,0.00583
4.2,0.02957557,0.02213896,0.0064
4.4,0.02371266,0.02417208,0.00672
4.6,0.01964238,0.02332501,0.00759
4.8,0.01531076,0.01946927,0.00751
5.0,0.01328051,0.01457565,0.00739
5.5,0.0107451,0.01012999,0.0064
6.0,0.01018459,0.00966881,0.00578
6.5,0.00843076,0.00730085,0.00475
7.0,0.00627671,0.00564056,0.00394
7.5,0.00480441,0.00475624,0.00259
8.0,0.00463276,0.00342259,0.00171
8.5,0.00418126,0.00239174,0.00124
9.0,0.00391364,0.00185801,0.000936
9.5,0.00381041,0.00163163,0.000865
10.0,0.00345612,0.00142235,0.000781
11.0,0.0023624,0.00107589,0.000587
12.0,0.00168535,0.00082392,0.000504
13.0,0.00132496,0.00066963,0.000482
14.0,0.00101672,0.00052848,0.000438
15.0,0.0008012,0.00046336,0.000381
20.0,0.00043392,0.00034021,0.000214
