
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-29


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, wbs
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 824, -, 1.0, -, 7.1, 13.9, 0.0, "Roermond_ Netherlands", 1992, "WBS", 5.3, Normal, 100.81, 101.3, 525.95, 0.1625, 1.0, RSN824_ROERMOND_WBS-NS.AT2, RSN824_ROERMOND_WBS-EW.AT2 , RSN824_ROERMOND_WBS-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-824 SRSS pSa (g)
0.22,0.01620365,0.01620365,0.01620365,0.01620365
0.24,0.01786257,0.01786257,0.01786257,0.01786257
0.25,0.01813648,0.01813648,0.01813648,0.01813648
0.26,0.01716649,0.01716649,0.01716649,0.01716649
0.28,0.01846882,0.01846882,0.01846882,0.01846882
0.29,0.02062414,0.02062414,0.02062414,0.02062414
0.3,0.02255937,0.02255937,0.02255937,0.02255937
0.32,0.02658365,0.02658365,0.02658365,0.02658365
0.34,0.02664526,0.02664526,0.02664526,0.02664526
0.35,0.02647214,0.02647214,0.02647214,0.02647214
0.36,0.02541169,0.02541169,0.02541169,0.02541169
0.38,0.02333884,0.02333884,0.02333884,0.02333884
0.4,0.02154942,0.02154942,0.02154942,0.02154942
0.42,0.02009934,0.02009934,0.02009934,0.02009934
0.44,0.01867012,0.01867012,0.01867012,0.01867012
0.45,0.01796827,0.01796827,0.01796827,0.01796827
0.46,0.01714873,0.01714873,0.01714873,0.01714873
0.48,0.0171902,0.0171902,0.0171902,0.0171902
0.5,0.01613265,0.01613265,0.01613265,0.01613265
0.55,0.0117582,0.0117582,0.0117582,0.0117582
0.6,0.01179341,0.01179341,0.01179341,0.01179341
0.65,0.01255761,0.01255761,0.01255761,0.01255761
0.667,0.01234188,0.01234188,0.01234188,0.01234188
0.7,0.01158287,0.01158287,0.01158287,0.01158287
0.75,0.00992571,0.00992571,0.00992571,0.00992571
0.8,0.00979715,0.00979715,0.00979715,0.00979715
0.85,0.00797584,0.00797584,0.00797584,0.00797584
0.9,0.00702888,0.00702888,0.00702888,0.00702888
0.95,0.00652263,0.00652263,0.00652263,0.00652263
1.0,0.00612276,0.00612276,0.00612276,0.00612276
1.1,0.00535623,0.00535623,0.00535623,0.00535623
1.2,0.00398068,0.00398068,0.00398068,0.00398068
1.3,0.00304742,0.00304742,0.00304742,0.00304742
1.4,0.00240179,0.00240179,0.00240179,0.00240179
1.5,0.00189213,0.00189213,0.00189213,0.00189213
1.6,0.00177049,0.00177049,0.00177049,0.00177049
1.7,0.00153256,0.00153256,0.00153256,0.00153256
1.8,0.0013074,0.0013074,0.0013074,0.0013074
1.9,0.00111842,0.00111842,0.00111842,0.00111842
2.0,0.00099294,0.00099294,0.00099294,0.00099294
2.2,0.00069941,0.00069941,0.00069941,0.00069941
2.4,0.0005617,0.0005617,0.0005617,0.0005617
2.5,0.00051175,0.00051175,0.00051175,0.00051175
2.6,0.00046809,0.00046809,0.00046809,0.00046809
2.8,0.00042984,0.00042984,0.00042984,0.00042984
3.0,0.0003868,0.0003868,0.0003868,0.0003868
3.2,0.00031754,0.00031754,0.00031754,0.00031754
3.4,0.00025961,0.00025961,0.00025961,0.00025961
3.5,0.00024271,0.00024271,0.00024271,0.00024271
3.6,0.00022748,0.00022748,0.00022748,0.00022748
3.8,0.00020195,0.00020195,0.00020195,0.00020195
4.0,0.00018136,0.00018136,0.00018136,0.00018136
4.2,0.00016346,0.00016346,0.00016346,0.00016346
4.4,0.00014722,0.00014722,0.00014722,0.00014722
4.6,0.00013258,0.00013258,0.00013258,0.00013258
4.8,0.00011973,0.00011973,0.00011973,0.00011973
5.0,0.00010869,0.00010869,0.00010869,0.00010869
5.5,8.756e-05,8.756e-05,8.756e-05,8.756e-05
6.0,7.245e-05,7.245e-05,7.245e-05,7.245e-05
6.5,6.082e-05,6.082e-05,6.082e-05,6.082e-05
7.0,5.159e-05,5.159e-05,5.159e-05,5.159e-05
7.5,4.422e-05,4.422e-05,4.422e-05,4.422e-05
8.0,3.831e-05,3.831e-05,3.831e-05,3.831e-05
8.5,3.356e-05,3.356e-05,3.356e-05,3.356e-05
9.0,2.968e-05,2.968e-05,2.968e-05,2.968e-05
9.5,2.648e-05,2.648e-05,2.648e-05,2.648e-05
10.0,2.378e-05,2.378e-05,2.378e-05,2.378e-05
11.0,1.952e-05,1.952e-05,1.952e-05,1.952e-05
12.0,1.632e-05,1.632e-05,1.632e-05,1.632e-05
13.0,1.385e-05,1.385e-05,1.385e-05,1.385e-05
14.0,1.19e-05,1.19e-05,1.19e-05,1.19e-05
15.0,1.034e-05,1.034e-05,1.034e-05,1.034e-05
20.0,5.78e-06,5.78e-06,5.78e-06,5.78e-06

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-824 Horizontal-1 pSa (g),RSN-824 Horizontal-2 pSa (g),RSN-824 Vertical pSa (g)
0.01,0.00508124,0.00769809,0.00518
0.02,0.00511468,0.00775027,0.0052
0.022,0.00512438,0.00777013,0.00521
0.025,0.00513081,0.00779932,0.00522
0.029,0.00516573,0.00779628,0.00524
0.03,0.00517535,0.00779349,0.00524
0.032,0.00517968,0.00779586,0.00525
0.035,0.00518337,0.00785516,0.00527
0.036,0.00519207,0.00788244,0.00528
0.04,0.0052677,0.00801532,0.00528
0.042,0.00532837,0.00808929,0.00528
0.044,0.00533348,0.00811358,0.00531
0.045,0.00532479,0.00811986,0.00534
0.046,0.00534316,0.00812599,0.00534
0.048,0.00537424,0.00815312,0.00536
0.05,0.00535903,0.00818643,0.00539
0.055,0.00549645,0.00835618,0.00543
0.06,0.0056302,0.00836257,0.00547
0.065,0.00601341,0.00839262,0.00558
0.067,0.00609772,0.0084781,0.00564
0.07,0.00600637,0.00859765,0.00596
0.075,0.0061423,0.00889258,0.00595
0.08,0.0066313,0.00919115,0.00595
0.085,0.00694587,0.00984142,0.00605
0.09,0.00681564,0.01043893,0.00652
0.095,0.00790573,0.01080222,0.00651
0.1,0.00843835,0.01075109,0.00726
0.11,0.01038452,0.01136634,0.00868
0.12,0.01238066,0.01296647,0.0103
0.13,0.01622844,0.01646888,0.0114
0.133,0.01761461,0.01750437,0.0111
0.14,0.01898176,0.01867429,0.00903
0.15,0.02196781,0.01608475,0.00955
0.16,0.02274188,0.01213937,0.011
0.17,0.01869699,0.01323208,0.0127
0.18,0.01346498,0.01372484,0.012
0.19,0.01117242,0.0139834,0.011
0.2,0.01108105,0.01255733,0.00922
0.22,0.01210976,0.01076625,0.00948
0.24,0.01361366,0.01156458,0.0102
0.25,0.01370607,0.01187752,0.0101
0.26,0.01245896,0.01180943,0.0104
0.28,0.0132803,0.01283475,0.0123
0.29,0.01410081,0.01505066,0.0131
0.3,0.01379705,0.01784844,0.0143
0.32,0.01432389,0.02239457,0.0168
0.34,0.01342266,0.02301743,0.0176
0.35,0.01429086,0.0222833,0.0174
0.36,0.01411849,0.02112871,0.0175
0.38,0.01416439,0.01854916,0.0165
0.4,0.01465529,0.01579873,0.0147
0.42,0.01488007,0.01351173,0.0123
0.44,0.01432094,0.01197848,0.0106
0.45,0.01412559,0.01110524,0.0102
0.46,0.01379747,0.01018375,0.00959
0.48,0.01381889,0.01022454,0.0084
0.5,0.01301057,0.00953874,0.00728
0.55,0.00906945,0.00748334,0.00637
0.6,0.0095582,0.00690835,0.00586
0.65,0.01047042,0.00693281,0.00554
0.667,0.01010335,0.00708832,0.0055
0.7,0.00922562,0.00700363,0.0062
0.75,0.00743564,0.00657502,0.00631
0.8,0.00777953,0.00595507,0.00672
0.85,0.00593973,0.00532294,0.00681
0.9,0.00499958,0.00494058,0.00655
0.95,0.00473582,0.00448517,0.00632
1.0,0.00460312,0.00403727,0.00663
1.1,0.00433501,0.00314594,0.0063
1.2,0.00318311,0.00239032,0.0054
1.3,0.00247912,0.00177221,0.00434
1.4,0.00200974,0.00131512,0.00381
1.5,0.0016063,0.00099997,0.00328
1.6,0.00152872,0.00089312,0.00276
1.7,0.00129346,0.00082202,0.00223
1.8,0.00108169,0.00073433,0.00185
1.9,0.00090572,0.00065614,0.00161
2.0,0.0008035,0.00058336,0.00146
2.2,0.00051762,0.00047037,0.00115
2.4,0.00040947,0.00038451,0.000884
2.5,0.00037218,0.00035124,0.000767
2.6,0.00033883,0.00032295,0.000673
2.8,0.00032953,0.00027599,0.000571
3.0,0.00030257,0.00024096,0.000483
3.2,0.00023686,0.00021149,0.000405
3.4,0.00018413,0.00018302,0.000348
3.5,0.00017299,0.00017024,0.000327
3.6,0.00016265,0.00015904,0.00031
3.8,0.00014455,0.00014103,0.000281
4.0,0.00012967,0.00012679,0.000254
4.2,0.00011679,0.00011436,0.000229
4.4,0.00010506,0.00010313,0.000207
4.6,9.437e-05,9.312e-05,0.000187
4.8,8.493e-05,8.44e-05,0.000171
5.0,7.678e-05,7.694e-05,0.000156
5.5,6.112e-05,6.27e-05,0.000124
6.0,5.046e-05,5.199e-05,0.000101
6.5,4.298e-05,4.303e-05,8.49e-05
7.0,3.706e-05,3.589e-05,7.26e-05
7.5,3.19e-05,3.061e-05,6.26e-05
8.0,2.744e-05,2.674e-05,5.42e-05
8.5,2.375e-05,2.371e-05,4.71e-05
9.0,2.083e-05,2.115e-05,4.13e-05
9.5,1.856e-05,1.888e-05,3.66e-05
10.0,1.678e-05,1.686e-05,3.27e-05
11.0,1.41e-05,1.349e-05,2.67e-05
12.0,1.205e-05,1.1e-05,2.23e-05
13.0,1.036e-05,9.19e-06,1.9e-05
14.0,8.94e-06,7.85e-06,1.64e-05
15.0,7.75e-06,6.84e-06,1.42e-05
20.0,4.24e-06,3.92e-06,7.97e-06
