
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-03-22


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 143
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 143, -, 1.0, 6.188, 8.3, 16.5, 11.8, "Tabas_ Iran", 1978, "Tabas", 7.35, Reverse, 1.79, 2.05, 766.77, 0.125, 1.0, RSN143_TABAS_TAB-L1.AT2, RSN143_TABAS_TAB-T1.AT2 , RSN143_TABAS_TAB-V1.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-143 RotD50 pSa (g)
0.28,2.066419,2.066419,2.066419,2.066419
0.29,1.859276,1.859276,1.859276,1.859276
0.3,1.66007,1.66007,1.66007,1.66007
0.32,1.756178,1.756178,1.756178,1.756178
0.34,1.699112,1.699112,1.699112,1.699112
0.35,1.630598,1.630598,1.630598,1.630598
0.36,1.603188,1.603188,1.603188,1.603188
0.38,1.542741,1.542741,1.542741,1.542741
0.4,1.584362,1.584362,1.584362,1.584362
0.42,1.632569,1.632569,1.632569,1.632569
0.44,1.716286,1.716286,1.716286,1.716286
0.45,1.74238,1.74238,1.74238,1.74238
0.46,1.75633,1.75633,1.75633,1.75633
0.48,1.688747,1.688747,1.688747,1.688747
0.5,1.618825,1.618825,1.618825,1.618825
0.55,1.562171,1.562171,1.562171,1.562171
0.6,1.504786,1.504786,1.504786,1.504786
0.65,1.201328,1.201328,1.201328,1.201328
0.667,1.250347,1.250347,1.250347,1.250347
0.7,1.533339,1.533339,1.533339,1.533339
0.75,1.670869,1.670869,1.670869,1.670869
0.8,1.489602,1.489602,1.489602,1.489602
0.85,1.366419,1.366419,1.366419,1.366419
0.9,1.167343,1.167343,1.167343,1.167343
0.95,0.8259391,0.8259391,0.8259391,0.8259391
1.0,0.7017292,0.7017292,0.7017292,0.7017292
1.1,0.5789679,0.5789679,0.5789679,0.5789679
1.2,0.6568422,0.6568422,0.6568422,0.6568422
1.3,0.6467609,0.6467609,0.6467609,0.6467609
1.4,0.5364845,0.5364845,0.5364845,0.5364845
1.5,0.482118,0.482118,0.482118,0.482118
1.6,0.5128065,0.5128065,0.5128065,0.5128065
1.7,0.4716412,0.4716412,0.4716412,0.4716412
1.8,0.4952216,0.4952216,0.4952216,0.4952216
1.9,0.5344849,0.5344849,0.5344849,0.5344849
2.0,0.5218247,0.5218247,0.5218247,0.5218247
2.2,0.444969,0.444969,0.444969,0.444969
2.4,0.3485798,0.3485798,0.3485798,0.3485798
2.5,0.3332262,0.3332262,0.3332262,0.3332262
2.6,0.3292781,0.3292781,0.3292781,0.3292781
2.8,0.3323794,0.3323794,0.3323794,0.3323794
3.0,0.3093821,0.3093821,0.3093821,0.3093821
3.2,0.296617,0.296617,0.296617,0.296617
3.4,0.2992305,0.2992305,0.2992305,0.2992305
3.5,0.2960595,0.2960595,0.2960595,0.2960595
3.6,0.2933223,0.2933223,0.2933223,0.2933223
3.8,0.2884085,0.2884085,0.2884085,0.2884085
4.0,0.2975011,0.2975011,0.2975011,0.2975011
4.2,0.3088737,0.3088737,0.3088737,0.3088737
4.4,0.3174008,0.3174008,0.3174008,0.3174008
4.6,0.3160584,0.3160584,0.3160584,0.3160584
4.8,0.3181853,0.3181853,0.3181853,0.3181853
5.0,0.3105168,0.3105168,0.3105168,0.3105168
5.5,0.2790093,0.2790093,0.2790093,0.2790093
6.0,0.2291553,0.2291553,0.2291553,0.2291553
6.5,0.1860815,0.1860815,0.1860815,0.1860815
7.0,0.147136,0.147136,0.147136,0.147136
7.5,0.1117546,0.1117546,0.1117546,0.1117546
8.0,0.08869917,0.08869917,0.08869917,0.08869917
8.5,0.07502326,0.07502326,0.07502326,0.07502326
9.0,0.06399398,0.06399398,0.06399398,0.06399398
9.5,0.05538424,0.05538424,0.05538424,0.05538424
10.0,0.05013239,0.05013239,0.05013239,0.05013239
11.0,0.04071789,0.04071789,0.04071789,0.04071789
12.0,0.03289777,0.03289777,0.03289777,0.03289777
13.0,0.02664683,0.02664683,0.02664683,0.02664683
14.0,0.02171826,0.02171826,0.02171826,0.02171826
15.0,0.01785498,0.01785498,0.01785498,0.01785498
20.0,0.00858313,0.00858313,0.00858313,0.00858313

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-143 Horizontal-1 pSa (g),RSN-143 Horizontal-2 pSa (g),RSN-143 Vertical pSa (g)
0.01,0.8633023,0.8706629,0.655
0.02,0.8705333,0.8769096,0.655
0.022,0.8897209,0.9026871,0.706
0.025,0.9217186,0.9610454,0.779
0.029,0.8950655,0.9491086,0.846
0.03,0.8749089,0.9669806,0.837
0.032,0.8484931,0.9496179,0.777
0.035,0.8549948,0.9516967,0.754
0.036,0.856208,0.9560682,0.752
0.04,0.8681007,0.9641169,0.766
0.042,0.8715319,0.9713947,0.78
0.044,0.8720204,0.987767,0.805
0.045,0.8701672,0.9961538,0.824
0.046,0.8702551,1.000468,0.841
0.048,0.8726655,1.001069,0.871
0.05,0.8731987,0.99189,0.963
0.055,0.8731424,1.106401,1.1
0.06,0.9573532,1.183047,1.23
0.065,1.040879,1.090615,1.34
0.067,1.020883,1.096457,1.32
0.07,1.077708,1.189189,1.45
0.075,1.316766,1.529668,1.84
0.08,1.499535,1.857332,1.75
0.085,1.60005,1.815484,2.0
0.09,1.586066,1.619366,2.14
0.095,1.679383,1.50088,1.57
0.1,2.02736,1.508045,1.41
0.11,1.70388,2.311762,1.46
0.12,2.177068,2.591031,2.08
0.13,2.416352,2.764292,1.94
0.133,2.475106,2.748653,1.86
0.14,2.501449,2.801903,1.56
0.15,2.769207,2.794818,1.81
0.16,2.870414,2.378984,1.9
0.17,2.448135,2.588299,1.87
0.18,2.545097,3.345328,1.91
0.19,2.478374,3.377711,1.77
0.2,2.421777,3.659827,1.69
0.22,2.558737,3.402529,1.34
0.24,3.348573,3.508861,0.996
0.25,3.329327,3.365569,0.914
0.26,2.701526,3.083227,0.905
0.28,2.049919,2.177707,0.838
0.29,1.859306,1.931226,0.801
0.3,1.56268,1.815606,0.908
0.32,1.469857,2.091357,1.05
0.34,1.578804,1.84698,0.973
0.35,1.609684,1.656642,0.953
0.36,1.660725,1.551492,0.891
0.38,1.697028,1.422321,0.906
0.4,1.681422,1.529786,0.89
0.42,1.51938,1.721555,0.772
0.44,1.424366,1.971031,0.656
0.45,1.454788,1.957385,0.582
0.46,1.525569,1.916829,0.511
0.48,1.525558,1.844697,0.451
0.5,1.334924,1.881481,0.521
0.55,1.115955,1.959777,0.593
0.6,1.213028,1.624568,0.426
0.65,1.14361,1.13751,0.32
0.667,1.248678,1.258519,0.34
0.7,1.407788,1.55959,0.394
0.75,1.663215,1.889285,0.434
0.8,1.444043,1.424994,0.489
0.85,1.541395,1.099639,0.484
0.9,1.296787,0.9586518,0.495
0.95,1.060658,0.7501126,0.533
1.0,0.7144669,0.6787688,0.55
1.1,0.5871145,0.5894375,0.371
1.2,0.8313816,0.5629243,0.307
1.3,0.8065923,0.4923314,0.231
1.4,0.6071693,0.3931327,0.187
1.5,0.5518805,0.4468698,0.169
1.6,0.545131,0.4923761,0.156
1.7,0.5267305,0.3866807,0.15
1.8,0.5332047,0.4371707,0.166
1.9,0.5577833,0.5044457,0.192
2.0,0.5463104,0.4910197,0.216
2.2,0.4570472,0.4322334,0.212
2.4,0.3848875,0.3360174,0.139
2.5,0.3601865,0.306354,0.139
2.6,0.3488781,0.3101767,0.148
2.8,0.3489737,0.3182371,0.171
3.0,0.3275528,0.2900313,0.19
3.2,0.280472,0.2827862,0.19
3.4,0.2316694,0.313117,0.172
3.5,0.2125818,0.3289523,0.156
3.6,0.1982591,0.3456929,0.143
3.8,0.1808228,0.3800062,0.114
4.0,0.1698732,0.4064601,0.0853
4.2,0.1669566,0.4203119,0.0703
4.4,0.1599801,0.4287453,0.0582
4.6,0.1569843,0.4258617,0.0479
4.8,0.1720614,0.41403,0.0388
5.0,0.175999,0.3964465,0.0337
5.5,0.175111,0.3347681,0.0246
6.0,0.1523789,0.2808789,0.0248
6.5,0.11571,0.2312181,0.0177
7.0,0.08580964,0.1860286,0.0161
7.5,0.06755751,0.1475184,0.0136
8.0,0.05194112,0.1188733,0.0107
8.5,0.04008106,0.09725483,0.00953
9.0,0.03184719,0.08485984,0.00878
9.5,0.02645407,0.07719739,0.00798
10.0,0.02291277,0.07002348,0.00709
11.0,0.01843121,0.05708682,0.00544
12.0,0.01505899,0.04624736,0.00417
13.0,0.01205459,0.03747353,0.00327
14.0,0.00960284,0.03050237,0.00266
15.0,0.00862392,0.02502353,0.00223
20.0,0.00469973,0.01106085,0.00123
