
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 564
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 564, -, 1.0, -, 1.9, 6.1, 0.7, "Kalamata_ Greece-01", 1986, "Kalamata (bsmt)", 6.2, Normal, 6.45, 6.45, 382.21, 0.1625, 1.0, RSN564_GREECE_H-KAL-NS.AT2, RSN564_GREECE_H-KAL-WE.AT2 , RSN564_GREECE_H-KAL-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-564 RotD100 pSa (g)
0.29,0.6769887,1.063138,0.498
0.3,0.696848,1.21373,0.483
0.32,0.7641067,1.21093,0.397
0.34,0.7291485,0.9240357,0.323
0.35,0.725048,0.9153572,0.277
0.36,0.7157721,0.9030675,0.243
0.38,0.6831408,0.8718635,0.244
0.4,0.7115021,0.8344588,0.249
0.42,0.7755668,0.8006094,0.25
0.44,0.6951885,0.7447211,0.231
0.45,0.6189983,0.720795,0.224
0.46,0.5349365,0.7228624,0.221
0.48,0.4731746,0.7693133,0.218
0.5,0.5038732,0.7808999,0.205
0.55,0.5886586,0.7060881,0.152
0.6,0.5588437,0.5905701,0.122
0.65,0.5700408,0.6182272,0.121
0.667,0.5547222,0.6014078,0.113
0.7,0.5112618,0.5429215,0.101
0.75,0.4357494,0.4420709,0.11
0.8,0.3709959,0.3343611,0.107
0.85,0.3224816,0.269538,0.114
0.9,0.2861245,0.2253999,0.0885
0.95,0.2572321,0.2317465,0.102
1.0,0.2331986,0.2457958,0.119
1.1,0.2706223,0.2462202,0.0827
1.2,0.2336974,0.2342185,0.0703
1.3,0.2174334,0.2149869,0.0444
1.4,0.1991537,0.1891516,0.0504
1.5,0.1828055,0.1686847,0.0401
1.6,0.1702766,0.1459076,0.0358
1.7,0.1585201,0.1181247,0.0382
1.8,0.1465358,0.1014371,0.0438
1.9,0.1364554,0.09228449,0.0409
2.0,0.1327487,0.08409793,0.0323
2.2,0.1222373,0.06902061,0.0276
2.4,0.1073988,0.05834759,0.0238
2.5,0.1034421,0.0527109,0.0227
2.6,0.09810962,0.05009651,0.0215
2.8,0.08439063,0.04275847,0.0182
3.0,0.068868,0.03038062,0.0166
3.2,0.05446837,0.02261668,0.0133
3.4,0.04546886,0.01989026,0.00938
3.5,0.04257444,0.01852531,0.00851
3.6,0.03992032,0.01719339,0.00797
3.8,0.03548684,0.015153,0.00764
4.0,0.03168125,0.01378609,0.00677
4.2,0.02845616,0.0125817,0.00571
4.4,0.02571987,0.01151772,0.00468
4.6,0.02317983,0.01057391,0.00377
4.8,0.02083525,0.00973501,0.003
5.0,0.01869842,0.00898685,0.00259
5.5,0.01436065,0.00744057,0.00203
6.0,0.0122044,0.00625097,0.00167
6.5,0.01044678,0.0053198,0.0014
7.0,0.0090106,0.00457964,0.0012
7.5,0.00783128,0.00398241,0.00104
8.0,0.00685642,0.00349408,0.000909
8.5,0.0060448,0.00309,0.000803
9.0,0.00536402,0.00275199,0.000715
9.5,0.00478869,0.00246651,0.000641
10.0,0.00429898,0.00222327,0.000579
11.0,0.00351727,0.00183353,0.000478
12.0,0.00292872,0.00153805,0.000402
13.0,0.0024755,0.00130872,0.000343
14.0,0.00211958,0.00112717,0.000296
15.0,0.00183515,0.00098099,0.000258
20.0,0.00101123,0.00055031,0.000145
