
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-05-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, Ambralauri
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 816, -, 1.0, -, 9.6, 18.1, 0.0, "Georgia_ USSR", 1991, "Ambralauri", 6.2, Reverse, 63.53, 63.57, 399.61, 0.1625, 1.0, RSN816_GEORGIA_AMB--X.AT2, RSN816_GEORGIA_AMB--Y.AT2 , RSN816_GEORGIA_AMB--Z.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-816 RotD100 pSa (g)
1.6,0.01396738,0.01396738,0.01396738,0.01396738
1.7,0.01415087,0.01415087,0.01415087,0.01415087
1.8,0.01318192,0.01318192,0.01318192,0.01318192
1.9,0.01132908,0.01132908,0.01132908,0.01132908
2.0,0.01104671,0.01104671,0.01104671,0.01104671
2.2,0.01064159,0.01064159,0.01064159,0.01064159
2.4,0.00762352,0.00762352,0.00762352,0.00762352
2.5,0.00744572,0.00744572,0.00744572,0.00744572
2.6,0.00686072,0.00686072,0.00686072,0.00686072
2.8,0.00544372,0.00544372,0.00544372,0.00544372
3.0,0.00435309,0.00435309,0.00435309,0.00435309
3.2,0.00371857,0.00371857,0.00371857,0.00371857
3.4,0.00318865,0.00318865,0.00318865,0.00318865
3.5,0.00294516,0.00294516,0.00294516,0.00294516
3.6,0.00277225,0.00277225,0.00277225,0.00277225
3.8,0.00266706,0.00266706,0.00266706,0.00266706
4.0,0.00259983,0.00259983,0.00259983,0.00259983
4.2,0.00257807,0.00257807,0.00257807,0.00257807
4.4,0.00284539,0.00284539,0.00284539,0.00284539
4.6,0.00312742,0.00312742,0.00312742,0.00312742
4.8,0.00320486,0.00320486,0.00320486,0.00320486
5.0,0.00321838,0.00321838,0.00321838,0.00321838
5.5,0.00259916,0.00259916,0.00259916,0.00259916
6.0,0.00222496,0.00222496,0.00222496,0.00222496
6.5,0.00173806,0.00173806,0.00173806,0.00173806
7.0,0.00128171,0.00128171,0.00128171,0.00128171
7.5,0.00106667,0.00106667,0.00106667,0.00106667
8.0,0.00085385,0.00085385,0.00085385,0.00085385
8.5,0.00067015,0.00067015,0.00067015,0.00067015
9.0,0.00055278,0.00055278,0.00055278,0.00055278
9.5,0.0004616,0.0004616,0.0004616,0.0004616
10.0,0.00038412,0.00038412,0.00038412,0.00038412
11.0,0.00030825,0.00030825,0.00030825,0.00030825
12.0,0.00025129,0.00025129,0.00025129,0.00025129
13.0,0.00020477,0.00020477,0.00020477,0.00020477
14.0,0.00016789,0.00016789,0.00016789,0.00016789
15.0,0.00013901,0.00013901,0.00013901,0.00013901
20.0,7.009e-05,7.009e-05,7.009e-05,7.009e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-816 Horizontal-1 pSa (g),RSN-816 Horizontal-2 pSa (g),RSN-816 Vertical pSa (g)
0.01,0.01735551,0.01588698,0.00644
0.02,0.01737721,0.01591195,0.00645
0.022,0.01739632,0.01590114,0.00646
0.025,0.01741677,0.01589944,0.00647
0.029,0.01749704,0.01587817,0.00648
0.03,0.01753379,0.01592255,0.00649
0.032,0.0175351,0.01593018,0.00648
0.035,0.01759093,0.01594867,0.00649
0.036,0.01763729,0.01599991,0.00652
0.04,0.01767846,0.01604134,0.00657
0.042,0.01758559,0.016087,0.00654
0.044,0.01755147,0.01601777,0.00653
0.045,0.01751806,0.01598707,0.00655
0.046,0.01747083,0.01597665,0.00657
0.048,0.01754931,0.01585295,0.00661
0.05,0.01746301,0.01613814,0.00663
0.055,0.01809218,0.01663888,0.00669
0.06,0.01868878,0.01644281,0.00669
0.065,0.018471,0.0165661,0.00667
0.067,0.0184031,0.01698277,0.00673
0.07,0.0189088,0.01698685,0.00707
0.075,0.01998593,0.01712156,0.00723
0.08,0.02018139,0.0172454,0.00697
0.085,0.02007111,0.01709269,0.00764
0.09,0.02053794,0.01648607,0.00795
0.095,0.02018875,0.01725199,0.00723
0.1,0.02018938,0.01833843,0.00734
0.11,0.02185103,0.02161068,0.00842
0.12,0.02178509,0.02160469,0.00896
0.13,0.02170552,0.02448574,0.00947
0.133,0.02277208,0.02458273,0.00999
0.14,0.02617623,0.02234977,0.0109
0.15,0.02936435,0.02254253,0.011
0.16,0.03105481,0.02463376,0.0117
0.17,0.03115865,0.0256438,0.0136
0.18,0.02900564,0.02809997,0.0144
0.19,0.03092165,0.02836981,0.0116
0.2,0.03365807,0.03471408,0.0131
0.22,0.0506669,0.03958213,0.0135
0.24,0.05106702,0.0453735,0.0151
0.25,0.04674704,0.04759309,0.0162
0.26,0.04303264,0.04910366,0.0171
0.28,0.04729056,0.0299374,0.0164
0.29,0.05121299,0.02770384,0.0148
0.3,0.05056347,0.03390403,0.0141
0.32,0.05207303,0.03569122,0.0138
0.34,0.05029732,0.03103303,0.014
0.35,0.05216849,0.02806071,0.0143
0.36,0.04738538,0.0268129,0.0149
0.38,0.05018932,0.0317101,0.0171
0.4,0.06913845,0.04365754,0.0212
0.42,0.07010306,0.04288867,0.021
0.44,0.06263518,0.03766056,0.0218
0.45,0.06152393,0.03636182,0.0227
0.46,0.06295935,0.03665929,0.0222
0.48,0.06565293,0.03543853,0.0188
0.5,0.06043757,0.03003555,0.02
0.55,0.04236545,0.02943844,0.0218
0.6,0.03206578,0.02495287,0.0157
0.65,0.0278049,0.02826009,0.0154
0.667,0.02975643,0.02939134,0.015
0.7,0.03777998,0.02588071,0.0138
0.75,0.04283369,0.02608655,0.0144
0.8,0.03887039,0.01913053,0.0165
0.85,0.03163007,0.01793995,0.0136
0.9,0.03041516,0.02547211,0.0149
0.95,0.03065679,0.03193494,0.0173
1.0,0.02945352,0.03309558,0.0174
1.1,0.02099375,0.02315459,0.0143
1.2,0.01728826,0.01646695,0.0135
1.3,0.01783191,0.01806856,0.0109
1.4,0.01992224,0.01717389,0.0113
1.5,0.01338711,0.01455265,0.0134
1.6,0.01262915,0.00997785,0.013
1.7,0.01364679,0.01113578,0.0107
1.8,0.01168781,0.01147608,0.00869
1.9,0.00995643,0.01084783,0.00923
2.0,0.01081677,0.00991538,0.0101
2.2,0.01030813,0.00865014,0.00686
2.4,0.00683608,0.00691427,0.00606
2.5,0.00568928,0.00610891,0.00555
2.6,0.00524138,0.0055627,0.00571
2.8,0.00510112,0.0041993,0.00476
3.0,0.00377151,0.00347037,0.0036
3.2,0.00368495,0.00292596,0.00338
3.4,0.00318823,0.00216432,0.00292
3.5,0.0029391,0.00195722,0.00273
3.6,0.0027347,0.00200528,0.00248
3.8,0.00249655,0.00214651,0.00179
4.0,0.00240555,0.00210772,0.00154
4.2,0.00236648,0.00158149,0.00172
4.4,0.00284434,0.0013579,0.00182
4.6,0.00309324,0.00138664,0.00167
4.8,0.00309446,0.00130294,0.00139
5.0,0.00302927,0.00135748,0.0013
5.5,0.00254087,0.00109568,0.00104
6.0,0.0021486,0.00071829,0.000938
6.5,0.00167128,0.00050846,0.000817
7.0,0.00125168,0.00038875,0.000691
7.5,0.0010472,0.00034329,0.000565
8.0,0.00083669,0.00030242,0.000542
8.5,0.00065431,0.00026653,0.000465
9.0,0.00055001,0.00023552,0.000373
9.5,0.00045952,0.00020882,0.000288
10.0,0.00038298,0.00018588,0.000219
11.0,0.00029366,0.00014921,0.000153
12.0,0.00023947,0.00012185,0.000122
13.0,0.00019566,0.00010111,9.71e-05
14.0,0.00016096,8.51e-05,8.04e-05
15.0,0.00013372,7.255e-05,7.11e-05
20.0,6.768e-05,3.943e-05,4.35e-05
